implementation_id,display_name,run_status,metric_key,panels,direction,analysis_unit,seed_count,mean,sample_standard_deviation,seed_0,seed_1,seed_2,n_samples,n_qa,run_id,artifact_sha256
wma-stmemory,STMemory,PENDING,token_usage.storage.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-stmemory,STMemory,PENDING,token_usage.total.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-stmemory,STMemory,PENDING,token_usage.total.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-stmemory,STMemory,PENDING,token_usage.total.total_tokens,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-stmemory,STMemory,PENDING,update_handling.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_resources.allocated_gpu_hours,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_resources.memory_storage_bytes,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_resources.peak_allocated_vram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_resources.peak_driver_ram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_runtime.end_to_end_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_runtime.end_to_end_latency_p95_ms,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_runtime.end_to_end_seconds,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_runtime.retrieval_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,derived_runtime.retrieval_latency_p95_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,interference_rejection.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_accuracy_itemwise.avg_correctness,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_accuracy_itemwise.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_correctness.avg_correctness,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_correctness.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_correctness.avg_irrelevant,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_correctness.total_memories,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_recall.avg_recall,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_recall.avg_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,memory_recall.pooled_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.answer_matching.avg_bleu1,main,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.answer_matching.avg_f1,main,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.correct_ratio,main,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.hallucination_ratio,main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.notmention_when_retrieved_ratio,quality,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.num_valid,reliability,descriptive,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.omission_ratio,main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_coverage.hit_rate,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_coverage.num_covered,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_coverage.num_total,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_ranking.recall_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_ranking.recall_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_answering.retrieval_ranking.recall_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,runtime.answer_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,runtime.retrieval_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,runtime.storage_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,timing.total_seconds,efficiency,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.answer.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.answer.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.answer.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.judge.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.judge.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.judge.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.retrieval.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.retrieval.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.retrieval.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.storage.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.storage.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.storage.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.total.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.total.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,token_usage.total.total_tokens,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,update_handling.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_resources.allocated_gpu_hours,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_resources.memory_storage_bytes,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_resources.peak_allocated_vram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_resources.peak_driver_ram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_runtime.end_to_end_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_runtime.end_to_end_latency_p95_ms,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_runtime.end_to_end_seconds,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_runtime.retrieval_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,derived_runtime.retrieval_latency_p95_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,interference_rejection.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_accuracy_itemwise.avg_correctness,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_accuracy_itemwise.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_correctness.avg_correctness,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_correctness.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_correctness.avg_irrelevant,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_correctness.total_memories,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_recall.avg_recall,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_recall.avg_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,memory_recall.pooled_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.answer_matching.avg_bleu1,main,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.answer_matching.avg_f1,main,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.correct_ratio,main,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.hallucination_ratio,main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.notmention_when_retrieved_ratio,quality,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.num_valid,reliability,descriptive,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.omission_ratio,main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_coverage.hit_rate,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_coverage.num_covered,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_coverage.num_total,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_ranking.recall_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_ranking.recall_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_answering.retrieval_ranking.recall_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,runtime.answer_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,runtime.retrieval_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,runtime.storage_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,timing.total_seconds,efficiency,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.answer.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.answer.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.answer.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.judge.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.judge.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.judge.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.retrieval.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.retrieval.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.retrieval.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.storage.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.storage.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.storage.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.total.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.total.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,token_usage.total.total_tokens,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,update_handling.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_resources.allocated_gpu_hours,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_resources.memory_storage_bytes,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_resources.peak_allocated_vram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_resources.peak_driver_ram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_runtime.end_to_end_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_runtime.end_to_end_latency_p95_ms,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_runtime.end_to_end_seconds,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_runtime.retrieval_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,derived_runtime.retrieval_latency_p95_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,interference_rejection.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_accuracy_itemwise.avg_correctness,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_accuracy_itemwise.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_correctness.avg_correctness,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_correctness.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_correctness.avg_irrelevant,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_correctness.total_memories,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_recall.avg_recall,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_recall.avg_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,memory_recall.pooled_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.answer_matching.avg_bleu1,main,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.answer_matching.avg_f1,main,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.correct_ratio,main,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.hallucination_ratio,main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.notmention_when_retrieved_ratio,quality,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.num_valid,reliability,descriptive,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.omission_ratio,main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_coverage.hit_rate,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_coverage.num_covered,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_coverage.num_total,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_ranking.recall_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_ranking.recall_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,question_answering.retrieval_ranking.recall_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,runtime.answer_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,runtime.retrieval_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,runtime.storage_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,timing.total_seconds,efficiency,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.answer.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.answer.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.answer.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.judge.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.judge.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.judge.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.retrieval.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.retrieval.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.retrieval.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.storage.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.storage.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.storage.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.total.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.total.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,token_usage.total.total_tokens,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-mgmemory,MGMemory,PENDING,update_handling.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_resources.allocated_gpu_hours,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_resources.memory_storage_bytes,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_resources.peak_allocated_vram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_resources.peak_driver_ram_gib,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_runtime.end_to_end_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_runtime.end_to_end_latency_p95_ms,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_runtime.end_to_end_seconds,efficiency_reliability+main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_runtime.retrieval_latency_p50_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,derived_runtime.retrieval_latency_p95_ms,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,interference_rejection.score,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_accuracy_itemwise.avg_correctness,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_accuracy_itemwise.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_correctness.avg_correctness,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_correctness.avg_hallucination,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_correctness.avg_irrelevant,retrieval_memory,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_correctness.total_memories,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_recall.avg_recall,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_recall.avg_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,memory_recall.pooled_weighted_recall,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.answer_matching.avg_bleu1,main,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.answer_matching.avg_f1,main,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.correct_ratio,main,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.hallucination_ratio,main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.notmention_when_retrieved_ratio,quality,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.num_valid,reliability,descriptive,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.omission_ratio,main,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_coverage.hit_rate,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_coverage.num_covered,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_coverage.num_total,retrieval_memory,descriptive,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_ranking.ndcg_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_ranking.recall_at.1,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_ranking.recall_at.10,main+retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,question_answering.retrieval_ranking.recall_at.5,retrieval_memory,higher,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,runtime.answer_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,runtime.retrieval_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,runtime.storage_seconds,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,timing.total_seconds,efficiency,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.answer.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.answer.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.answer.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.judge.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.judge.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.judge.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.retrieval.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.retrieval.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.retrieval.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.storage.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.storage.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.storage.total_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.total.completion_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
wma-rfmemory,RFMemory,PENDING,token_usage.total.prompt_tokens,efficiency_reliability,lower,model_seed,,,,,,,,,,
